GEOID20,District
36085000136,24
36085000201,24
36085000200,24
36001000017,45
36001000016,45
36001000059,45
36001000020,45
36001000006,45
36001000077,45
36001000063,45
36001000074,45
36001000070,45
36001000120,45
36001000119,45
36001000069,45
36001000082,45
36001000079,45
36001000083,45
36001000080,45
36001000078,45
36001000086,45
36001000081,45
36001000018,45
36001000013,45
36001000019,45
36001000111,45
36001000112,45
36001000084,45
36001000048,45
36001000050,45
36001000027,45
36001000095,45
36001000094,45
36001000089,45
36001000092,45
36001000093,45
36001000085,45
36001000096,45
36001000090,45
36001000088,45
36001000087,45
36001000043,45
36001000035,45
36001000036,45
36001000042,45
36001000104,45
36001000091,45
36001000103,45
36001000102,45
36001000101,45
36001000100,45
36001000021,45
36001000014,45
36001000110,45
36001000108,45
36001000109,45
36001000106,45
36001000107,45
36001000124,45
36001000007,45
36001000117,45
36001000118,45
36001000114,45
36001000116,45
36001000121,45
36001000113,45
36001000115,45
36001000125,45
36001000126,45
36001000127,45
36001000128,45
36001000097,45
36001000122,45
36001000099,45
36001000098,45
36001000129,48
36001000131,48
36001000130,48
36001000015,45
36001000132,45
36001000133,45
36001000134,45
36001000135,45
36001000139,45
36001000142,45
36001000158,45
36001000140,45
36001000162,45
36001000136,45
36001000137,45
36001000138,45
36001000146,45
36001000143,45
36001000145,45
36001000157,45
36001000141,45
36001000148,45
36001000150,45
36001000151,45
36001000147,45
36001000152,45
36001000153,45
36001000149,45
36001000144,45
36001000156,45
36001000012,45
36001000010,45
36001000155,45
36001000154,45
36001000161,45
36001000160,45
36001000159,45
36001000011,45
36001000164,45
36001000163,45
36001000165,45
36001000166,45
36001000167,45
36001000168,45
36001000170,45
36001000169,45
36001000172,45
36001000058,45
36001000171,45
36001000173,45
36001000175,45
36001000174,45
36001000179,45
36001000178,45
36001000180,45
36001000008,45
36001000181,45
36001000183,45
36001000187,45
36001000182,45
36001000190,45
36001000185,45
36001000186,45
36001000188,45
36001000189,45
36001000193,45
36001000191,45
36001000192,45
36001000194,45
36001000200,45
36001000210,45
36001000211,45
36001000235,45
36001000197,45
36001000195,45
36001000196,45
36001000198,45
36001000243,45
36001000250,45
36001000253,45
36001000249,45
36001000248,45
36001000226,45
36001000247,45
36001000246,45
36001000238,45
36001000245,45
36001000244,45
36001000242,45
36001000241,45
36001000240,45
36001000239,45
36001000227,45
36001000228,45
36001000237,45
36001000236,45
36001000234,45
36001000232,45
36001000233,45
36001000231,45
36001000225,45
36001000222,45
36001000223,45
36001000254,45
36001000224,45
36001000209,45
36001000208,45
36001000205,45
36001000206,45
36001000252,45
36001000207,45
36001000216,45
36001000229,45
36001000230,45
36001000255,45
36001000199,45
36001000201,45
36001000202,45
36001000203,45
36001000204,45
36001000215,45
36001000214,45
36001000213,45
36001000217,45
36001000212,45
36001000219,45
36001000023,45
36001000029,45
36001000051,45
36001000022,45
36001000218,45
36001000220,45
36001000221,45
36001000256,45
36001000257,45
36001000258,45
36001000259,45
36001000262,48
36001000024,45
36001000263,48
36001000264,48
36001000265,48
36001000269,48
36001000270,48
36001000271,48
36001000267,48
36001000266,48
36001000268,48
36001000273,48
36001000272,48
36001000281,48
36001000274,48
36001000275,48
36001000277,48
36001000279,48
36001000278,48
36001000276,48
36001000280,48
36001000285,48
36001000284,48
36001000283,48
36001000282,48
36001000286,48
36001000260,48
36001000288,48
36001000289,48
36001000287,48
36001000261,48
36001000030,45
36001000292,48
36001000290,48
36001000291,48
36001000294,45
36001000293,45
36001000295,45
36001000296,45
36001000300,45
36001000298,45
36001000297,45
36001000299,45
36001000038,45
36001000301,48
36001000302,48
36001000303,48
36001000304,45
36001000307,45
36001000305,45
36001000306,45
36001000308,45
36001000309,45
36001000026,45
36001000310,45
36001000311,45
36001000312,45
36001000313,45
36001000314,45
36001000315,45
36001000316,45
